حجم,ارزش(ریال),بالاترین(ریال),پایین ترین(ریال),آخرین(ریال),اولین(ریال),موقعیتهای باز,درصد تغییر,تعداد مشتریان فعال,تعداد کارگزاران فعال,تعداد خریداران,تعداد فروشندگان,قیمت تسویه (ریال),درصد تغییر قیمت تسویه,تاریخ,تاریخ اعمال,#!ارزش معاملات مشتریان حقیقی(خرید)(ریال),#!ارزش معاملات مشتریان حقیقی(فروش)(ریال),ContractType,StrikePrice,Profitability,ContractDurationDays
3,4150000,1500000,1300000,1350000,1500000,56,1,18,6,3,2,1383333,27.19,1398/01/17,1398/02/16,4150000,4150000,P,48000000,0,30
8,47818900,6200000,5700000,6200000,5700000,42,3,24,7,3,5,5977363,41.09,1398/01/18,1398/02/16,47818900,47818900,C,46000000,0,29
1,7777000,7777000,7777000,7777000,7777000,41,1,21,10,1,1,7777000,36.43,1398/01/18,1398/02/16,7777000,7777000,C,44000000,0,29
254,1039731000,5000000,3450000,4630000,3550000,637,168,73,16,34,26,4093429,70.59,1398/01/18,1398/02/16,792213700,1039731000,C,48000000,0,29
3,850100,350000,200000,200000,350000,20,1,13,4,3,2,283367,18.37,1398/01/18,1398/02/16,850100,850100,P,44000000,0,29
0,0,0,0,0,0,5,0,5,3,0,0,942592,28.59,1398/01/18,1398/02/16,0,0,P,46000000,0,29
7,7620000,1200000,1000000,1000000,1200000,60,4,18,7,4,2,1088571,21.31,1398/01/18,1398/02/16,7620000,1000000,P,48000000,0,29
24,152262700,6989900,5200100,6850000,6800000,31,-11,19,4,6,6,6344279,6.14,1398/01/19,1398/02/16,152262700,152262700,C,46000000,0,28
17,135616600,8888800,7500000,8000000,7500000,37,-4,21,10,9,7,7977447,2.58,1398/01/19,1398/02/16,135616600,135616600,C,44000000,0,28
160,824968500,5555500,4445000,5300000,5199900,693,56,78,18,27,31,5156053,25.96,1398/01/19,1398/02/16,678752500,824968500,C,48000000,0,28
0,0,0,0,0,0,20,0,13,4,0,0,283367,0.0,1398/01/19,1398/02/16,0,0,P,44000000,0,28
0,0,0,0,0,0,5,0,5,3,0,0,767104,18.62,1398/01/19,1398/02/16,0,0,P,46000000,0,28
0,0,0,0,0,0,60,0,18,7,0,0,1088571,0.0,1398/01/19,1398/02/16,0,0,P,48000000,0,28
5,35499000,7699000,6800000,6800000,7000000,26,-5,15,4,3,2,7099800,11.91,1398/01/20,1398/02/16,35499000,35499000,C,46000000,0,27
7,60090000,9100000,8000000,8000000,9000000,35,-2,22,9,5,2,8584286,7.61,1398/01/20,1398/02/16,60090000,60090000,C,44000000,0,27
251,1402298700,6499900,4900000,4900000,6499900,675,-18,75,16,31,26,5586847,8.36,1398/01/20,1398/02/16,1402298700,945803000,C,48000000,0,27
0,0,0,0,0,0,20,0,13,4,0,0,283367,0.0,1398/01/20,1398/02/16,0,0,P,44000000,0,27
0,0,0,0,0,0,5,0,5,3,0,0,727705,5.14,1398/01/20,1398/02/16,0,0,P,46000000,0,27
0,0,0,0,0,0,60,0,18,7,0,0,1088571,0.0,1398/01/20,1398/02/16,0,0,P,48000000,0,27
0,0,0,0,0,0,0,0,0,0,0,0,1769147,0.0,1398/01/20,1398/02/16,0,0,P,50000000,0,27
108,484489600,4991300,3999900,4000000,4919900,99,0,27,10,20,15,4486015,0.0,1398/01/20,1398/02/16,484489600,484489600,C,50000000,0,27
0,0,0,0,0,0,26,0,15,4,0,0,7099800,0.0,1398/01/21,1398/02/16,0,0,C,46000000,0,26
3,20690000,7000000,6700000,6990000,7000000,37,2,23,9,3,2,6896667,19.66,1398/01/21,1398/02/16,20690000,20690000,C,44000000,1,26
79,320815800,4999800,3800000,4200000,4999500,691,16,74,15,21,15,4060959,27.31,1398/01/21,1398/02/16,320815800,320815800,C,48000000,0,26
0,0,0,0,0,0,20,0,13,4,0,0,578571,104.18,1398/01/21,1398/02/16,0,0,P,44000000,0,26
0,0,0,0,0,0,5,0,5,3,0,0,972910,33.7,1398/01/21,1398/02/16,0,0,P,46000000,0,26
0,0,0,0,0,0,60,0,18,7,0,0,1526844,40.26,1398/01/21,1398/02/16,0,0,P,48000000,0,26
0,0,0,0,0,0,0,0,0,0,0,0,2258256,27.65,1398/01/21,1398/02/16,0,0,P,50000000,0,26
61,184497700,4000000,2500000,2900300,4000000,130,31,37,13,15,16,3024552,32.58,1398/01/21,1398/02/16,184497700,184497700,C,50000000,0,26
1,5400000,5400000,5400000,5400000,5400000,26,0,15,5,1,1,5400000,23.94,1398/01/22,1398/02/16,5400000,5400000,C,46000000,0,25
3,20190000,6890000,6500000,6500000,6800000,38,1,22,9,3,2,6730000,2.42,1398/01/22,1398/02/16,20190000,20190000,C,44000000,1,25
38,150219700,4199900,3600000,4099900,3600000,703,12,76,16,7,12,3953150,2.65,1398/01/22,1398/02/16,150219700,150219700,C,48000000,0,25
0,0,0,0,0,0,20,0,13,4,0,0,548523,5.19,1398/01/22,1398/02/16,0,0,P,44000000,0,25
0,0,0,0,0,0,5,0,5,3,0,0,934228,3.98,1398/01/22,1398/02/16,0,0,P,46000000,0,25
0,0,0,0,0,0,60,0,18,7,0,0,1481197,2.99,1398/01/22,1398/02/16,0,0,P,48000000,0,25
0,0,0,0,0,0,0,0,0,0,0,0,2208542,2.2,1398/01/22,1398/02/16,0,0,P,50000000,0,25
65,194701700,3199900,2500000,2900000,3132000,161,31,43,13,6,17,2995411,0.96,1398/01/22,1398/02/16,194701700,194701700,C,50000000,0,25
6,26400100,4800000,4000000,4000100,4800000,28,2,16,4,4,3,4400017,18.52,1398/01/24,1398/02/16,26400100,26400100,C,46000000,1,23
6,32713000,5452300,5452100,5452100,5452300,36,-2,22,8,4,1,5452167,18.99,1398/01/24,1398/02/16,32713000,32713000,C,44000000,1,23
87,238260500,4100000,2100000,2500000,4100000,723,20,76,15,19,10,2738626,30.72,1398/01/24,1398/02/16,238260500,238260500,C,48000000,1,23
0,0,0,0,0,0,20,0,13,4,0,0,912187,66.3,1398/01/24,1398/02/16,0,0,P,44000000,0,23
0,0,0,0,0,0,5,0,5,3,0,0,1487923,59.27,1398/01/24,1398/02/16,0,0,P,46000000,0,23
3,4300000,1550000,1200000,1200000,1550000,61,1,18,7,1,2,1433333,3.23,1398/01/24,1398/02/16,4300000,4300000,P,48000000,0,23
0,0,0,0,0,0,0,0,0,0,0,0,3244399,46.9,1398/01/24,1398/02/16,0,0,P,50000000,0,23
95,158975200,3000000,1221200,1500000,3000000,194,33,45,11,20,15,1673423,44.13,1398/01/24,1398/02/16,158975200,158975200,C,50000000,0,23
0,0,0,0,0,0,28,0,16,4,0,0,4400017,0.0,1398/01/25,1398/02/16,0,0,C,46000000,1,22
2,10600000,5400000,5200000,5400000,5200000,35,-1,21,9,2,1,5300000,2.79,1398/01/25,1398/02/16,10600000,10600000,C,44000000,1,22
27,69985600,3000000,2450000,3000000,2500000,739,16,78,17,7,7,2592059,5.35,1398/01/25,1398/02/16,69985600,69985600,C,48000000,1,22
0,0,0,0,0,0,20,0,13,4,0,0,894348,1.96,1398/01/25,1398/02/16,0,0,P,44000000,0,22
0,0,0,0,0,0,5,0,5,3,0,0,1475771,0.82,1398/01/25,1398/02/16,0,0,P,46000000,0,22
0,0,0,0,0,0,61,0,18,7,0,0,1433333,0.0,1398/01/25,1398/02/16,0,0,P,48000000,0,22
0,0,0,0,0,0,0,0,0,0,0,0,3263741,0.6,1398/01/25,1398/02/16,0,0,P,50000000,0,22
16,25249300,1800000,1450000,1600000,1550000,208,14,47,12,6,6,1578081,5.7,1398/01/25,1398/02/16,25249300,25249300,C,50000000,0,22
0,0,0,0,0,0,28,0,16,4,0,0,4400017,0.0,1398/01/26,1398/02/16,0,0,C,46000000,1,21
3,18000300,6000100,6000100,6000100,6000100,35,0,20,8,2,2,6000100,13.21,1398/01/26,1398/02/16,18000300,18000300,C,44000000,1,21
19,55364900,3100000,2650000,3089900,3000000,746,7,79,16,10,10,2913942,12.42,1398/01/26,1398/02/16,55364900,55364900,C,48000000,1,21
0,0,0,0,0,0,20,0,13,4,0,0,889646,0.53,1398/01/26,1398/02/16,0,0,P,44000000,0,21
0,0,0,0,0,0,5,0,5,3,0,0,1483396,0.52,1398/01/26,1398/02/16,0,0,P,46000000,0,21
3,4900000,1900000,1300000,1900000,1300000,64,3,18,7,1,1,1633333,13.95,1398/01/26,1398/02/16,4900000,4900000,P,48000000,0,21
0,0,0,0,0,0,0,0,0,0,0,0,3319153,1.7,1398/01/26,1398/02/16,0,0,P,50000000,0,21
31,50793000,2000000,1451000,1451000,2000000,211,3,45,11,8,8,1638484,3.83,1398/01/26,1398/02/16,50793000,50793000,C,50000000,0,21
17,52810800,3500100,2500300,2700000,3500000,40,12,23,10,10,3,3106518,29.4,1398/01/27,1398/02/16,52810800,52810800,C,46000000,1,20
12,62550000,6000000,4800000,5100000,6000000,43,8,23,9,7,3,5212500,13.13,1398/01/27,1398/02/16,62550000,62550000,C,44000000,1,20
224,406377500,2000100,1520000,1990000,2000100,775,29,86,19,24,15,1814185,37.74,1398/01/27,1398/02/16,228084700,404857500,C,48000000,1,20
0,0,0,0,0,0,20,0,13,4,0,0,920160,3.43,1398/01/27,1398/02/16,0,0,P,44000000,0,20
0,0,0,0,0,0,5,0,5,3,0,0,1543688,4.06,1398/01/27,1398/02/16,0,0,P,46000000,0,20
0,0,0,0,0,0,64,0,18,7,0,0,1633333,0.0,1398/01/27,1398/02/16,0,0,P,48000000,0,20
0,0,0,0,0,0,0,0,0,0,0,0,3467523,4.47,1398/01/27,1398/02/16,0,0,P,50000000,0,20
39,39151600,1500000,800000,1050000,1500000,230,19,49,14,12,11,1003887,38.73,1398/01/27,1398/02/16,39151600,39151600,C,50000000,1,20
6,19650900,3499000,3000000,3499000,3000000,40,0,23,10,3,3,3275150,5.43,1398/01/28,1398/02/16,19650900,19650900,C,46000000,1,19
7,37308900,5555000,5000000,5300000,5000000,41,-2,21,8,3,4,5329843,2.25,1398/01/28,1398/02/16,37308900,37308900,C,44000000,1,19
132,223354800,2222000,1250000,1900100,1990000,780,5,80,18,15,15,1692082,6.73,1398/01/28,1398/02/16,77845600,209452000,C,48000000,1,19
0,0,0,0,0,0,20,0,13,4,0,0,755720,17.87,1398/01/28,1398/02/16,0,0,P,44000000,0,19
0,0,0,0,0,0,5,0,5,3,0,0,1311369,15.05,1398/01/28,1398/02/16,0,0,P,46000000,0,19
0,0,0,0,0,0,64,0,18,7,0,0,1633333,0.0,1398/01/28,1398/02/16,0,0,P,48000000,0,19
0,0,0,0,0,0,0,0,0,0,0,0,3099355,10.62,1398/01/28,1398/02/16,0,0,P,50000000,0,19
30,29510100,1000100,510000,1000000,510000,245,15,51,14,4,6,983670,2.01,1398/01/28,1398/02/16,29510100,29510100,C,50000000,1,19
6,18770000,3200000,3000000,3000000,3200000,45,5,22,9,3,1,3128333,4.48,1398/01/29,1398/02/16,18770000,18770000,C,46000000,1,18
10,51030000,5110000,5100000,5100000,5110000,46,5,22,8,3,2,5103000,4.26,1398/01/29,1398/02/16,51030000,51030000,C,44000000,1,18
4,7200000,1800000,1800000,1800000,1800000,780,0,79,18,2,2,1800000,6.38,1398/01/29,1398/02/16,7200000,7200000,C,48000000,1,18
0,0,0,0,0,0,20,0,13,4,0,0,656933,13.07,1398/01/29,1398/02/16,0,0,P,44000000,0,18
0,0,0,0,0,0,5,0,5,3,0,0,1196054,8.79,1398/01/29,1398/02/16,0,0,P,46000000,0,18
0,0,0,0,0,0,64,0,18,7,0,0,1974343,20.88,1398/01/29,1398/02/16,0,0,P,48000000,0,18
0,0,0,0,0,0,0,0,0,0,0,0,3003437,3.09,1398/01/29,1398/02/16,0,0,P,50000000,0,18
0,0,0,0,0,0,245,0,51,14,0,0,983670,0.0,1398/01/29,1398/02/16,0,0,C,50000000,1,18
7,22784300,3391200,3100000,3100000,3391200,51,6,23,9,5,3,3254900,4.05,1398/01/31,1398/02/16,22784300,22784300,C,46000000,1,16
7,35889200,5290000,5000000,5000000,5000000,52,6,24,8,3,5,5127029,0.47,1398/01/31,1398/02/16,35889200,35889200,C,44000000,1,16
0,0,0,0,0,0,780,0,79,18,0,0,1800000,0.0,1398/01/31,1398/02/16,0,0,C,48000000,1,16
0,0,0,0,0,0,20,0,13,4,0,0,603003,8.21,1398/01/31,1398/02/16,0,0,P,44000000,0,16
0,0,0,0,0,0,5,0,5,3,0,0,1138073,4.85,1398/01/31,1398/02/16,0,0,P,46000000,0,16
0,0,0,0,0,0,64,0,18,7,0,0,1927160,2.39,1398/01/31,1398/02/16,0,0,P,48000000,0,16
0,0,0,0,0,0,0,0,0,0,0,0,2982885,0.68,1398/01/31,1398/02/16,0,0,P,50000000,0,16
0,0,0,0,0,0,245,0,51,14,0,0,983670,0.0,1398/01/31,1398/02/16,0,0,C,50000000,1,16
12,50449900,4750000,3500000,4750000,3500000,47,-4,23,8,4,8,4204158,29.16,1398/02/02,1398/02/16,50449900,50449900,C,46000000,1,14
5,32349700,6899900,6000000,6899900,6000000,51,-1,23,8,2,4,6469940,26.19,1398/02/02,1398/02/16,32349700,32349700,C,44000000,1,14
92,250387000,3400000,1999000,3000000,1999000,809,29,77,19,12,22,2721598,51.2,1398/02/02,1398/02/16,132878900,250387000,C,48000000,1,14
0,0,0,0,0,0,20,0,13,4,0,0,308652,48.81,1398/02/02,1398/02/16,0,0,P,44000000,0,14
0,0,0,0,0,0,5,0,5,3,0,0,662761,41.76,1398/02/02,1398/02/16,0,0,P,46000000,0,14
4,5300000,1400000,1200000,1400000,1200000,63,-1,16,6,1,2,1325000,31.25,1398/02/02,1398/02/16,5300000,5300000,P,48000000,0,14
0,0,0,0,0,0,0,0,0,0,0,0,2100132,29.59,1398/02/02,1398/02/16,0,0,P,50000000,0,14
26,41085500,1987000,1111100,1700000,1111100,262,17,53,14,5,11,1580212,60.64,1398/02/02,1398/02/16,41085500,41085500,C,50000000,0,14
6,24420000,4210000,4000000,4000000,4210000,43,-4,22,8,3,2,4070000,3.19,1398/02/03,1398/02/16,24420000,24420000,C,46000000,1,13
0,0,0,0,0,0,51,0,23,8,0,0,6533151,0.98,1398/02/03,1398/02/16,0,0,C,44000000,1,13
44,101450300,2550100,2000000,2000000,2500000,804,-5,72,17,5,12,2305689,15.28,1398/02/03,1398/02/16,101450300,101450300,C,48000000,1,13
0,0,0,0,0,0,20,0,13,4,0,0,308652,0.0,1398/02/03,1398/02/16,0,0,P,44000000,0,13
0,0,0,0,0,0,5,0,5,3,0,0,602796,9.05,1398/02/03,1398/02/16,0,0,P,46000000,0,13
0,0,0,0,0,0,63,0,16,6,0,0,1325000,0.0,1398/02/03,1398/02/16,0,0,P,48000000,0,13
0,0,0,0,0,0,0,0,0,0,0,0,2013025,4.15,1398/02/03,1398/02/16,0,0,P,50000000,0,13
80,82000900,1250300,1000000,1000000,1250300,257,-5,52,12,9,4,1025011,35.13,1398/02/03,1398/02/16,82000900,82000900,C,50000000,1,13
4,15700000,4000000,3700000,4000000,3700000,40,-3,21,7,2,2,3925000,3.56,1398/02/04,1398/02/16,15700000,15700000,C,46000000,1,12
6,35680000,6090000,5720000,6090000,5720000,54,3,25,9,4,4,5946667,8.98,1398/02/04,1398/02/16,35680000,35680000,C,44000000,1,12
47,105112600,2500000,2050000,2300000,2050000,819,15,72,18,7,11,2236438,3.0,1398/02/04,1398/02/16,105112600,105112600,C,48000000,1,12
0,0,0,0,0,0,20,0,13,4,0,0,222904,27.78,1398/02/04,1398/02/16,0,0,P,44000000,0,12
3,1200000,400000,400000,400000,400000,8,3,6,3,1,2,400000,33.64,1398/02/04,1398/02/16,1200000,1200000,P,46000000,0,12
2,1400000,700000,700000,700000,700000,63,0,15,6,1,1,700000,47.17,1398/02/04,1398/02/16,1400000,1400000,P,48000000,0,12
0,0,0,0,0,0,0,0,0,0,0,0,1885833,6.32,1398/02/04,1398/02/16,0,0,P,50000000,0,12
40,37275200,1090000,900000,1090000,900000,251,-6,54,15,11,7,931880,9.09,1398/02/04,1398/02/16,36185200,37275200,C,50000000,1,12
0,0,0,0,0,0,40,0,21,7,0,0,3925000,0.0,1398/02/05,1398/02/16,0,0,C,46000000,1,11
0,0,0,0,0,0,54,0,25,9,0,0,5946667,0.0,1398/02/05,1398/02/16,0,0,C,44000000,1,11
10,24610000,2600000,2300000,2500000,2600000,824,5,74,19,6,5,2461000,10.04,1398/02/05,1398/02/16,16810000,24610000,C,48000000,1,11
0,0,0,0,0,0,20,0,13,4,0,0,222904,0.0,1398/02/05,1398/02/16,0,0,P,44000000,0,11
0,0,0,0,0,0,8,0,6,3,0,0,400000,0.0,1398/02/05,1398/02/16,0,0,P,46000000,0,11
1,420500,420500,420500,420500,420500,64,1,15,6,1,1,420500,39.93,1398/02/05,1398/02/16,420500,420500,P,48000000,0,11
1,1000000,1000000,1000000,1000000,1000000,1,0,2,2,1,1,1000000,46.97,1398/02/05,1398/02/16,1000000,1000000,P,50000000,0,11
11,10620700,1000200,930000,1000000,930000,258,7,54,15,5,1,965518,3.61,1398/02/05,1398/02/16,10620700,10620700,C,50000000,1,11
0,0,0,0,0,0,40,0,21,7,0,0,3925000,0.0,1398/02/07,1398/02/16,0,0,C,46000000,1,9
5,32700000,6700000,6400000,6700000,6400000,53,-1,25,9,2,3,6540000,9.98,1398/02/07,1398/02/16,32700000,32700000,C,44000000,1,9
47,124459000,3150000,2082000,2800000,2900000,793,-31,73,19,12,13,2648064,7.6,1398/02/07,1398/02/16,121559000,85174900,C,48000000,1,9
5,186100,40100,33000,40000,33000,15,-5,8,4,4,2,37220,83.3,1398/02/07,1398/02/16,186100,186100,P,44000000,0,9
0,0,0,0,0,0,8,0,6,3,0,0,400000,0.0,1398/02/07,1398/02/16,0,0,P,46000000,0,9
2,301500,151500,150000,150000,151500,63,-1,16,6,2,1,150750,64.15,1398/02/07,1398/02/16,301500,301500,P,48000000,0,9
0,0,0,0,0,0,1,0,2,2,0,0,1000000,0.0,1398/02/07,1398/02/16,0,0,P,50000000,0,9
26,30575600,1299900,850000,1200000,850000,270,12,52,13,5,8,1175985,21.8,1398/02/07,1398/02/16,30575600,29375600,C,50000000,1,9
0,0,0,0,0,0,40,0,21,7,0,0,5358536,36.52,1398/02/08,1398/02/16,0,0,C,46000000,0,8
6,41650000,7000000,6900000,6900000,7000000,55,2,25,9,1,3,6941667,6.14,1398/02/08,1398/02/16,41650000,41650000,C,44000000,1,8
171,510589800,3150000,2760000,3000000,2760000,706,-87,68,17,7,12,2985905,12.76,1398/02/08,1398/02/16,433570000,145089800,C,48000000,1,8
0,0,0,0,0,0,15,0,8,4,0,0,37220,0.0,1398/02/08,1398/02/16,0,0,P,44000000,0,8
0,0,0,0,0,0,8,0,6,3,0,0,205731,48.57,1398/02/08,1398/02/16,0,0,P,46000000,0,8
18,3770000,290000,150000,150000,160000,65,2,17,5,3,3,209444,38.93,1398/02/08,1398/02/16,1230000,3160000,P,48000000,0,8
0,0,0,0,0,0,1,0,2,2,0,0,1000000,0.0,1398/02/08,1398/02/16,0,0,P,50000000,0,8
23,28295600,1499700,1000300,1200200,1201100,277,7,50,12,6,9,1230243,4.61,1398/02/08,1398/02/16,21096300,22255300,C,50000000,1,8
1,4500000,4500000,4500000,4500000,4500000,40,0,20,7,1,1,4500000,16.02,1398/02/09,1398/02/16,4500000,4500000,C,46000000,1,7
2,13005000,6505000,6500000,6500000,6505000,54,-1,23,8,2,2,6502500,6.33,1398/02/09,1398/02/16,13005000,13005000,C,44000000,1,7
20,54561600,3600000,2500100,2500100,3600000,711,5,67,17,9,7,2728080,8.63,1398/02/09,1398/02/16,50961600,39557100,C,48000000,1,7
0,0,0,0,0,0,15,0,8,4,0,0,37220,0.0,1398/02/09,1398/02/16,0,0,P,44000000,0,7
0,0,0,0,0,0,8,0,6,3,0,0,195845,4.810000000000001,1398/02/09,1398/02/16,0,0,P,46000000,0,7
0,0,0,0,0,0,65,0,17,5,0,0,209444,0.0,1398/02/09,1398/02/16,0,0,P,48000000,0,7
0,0,0,0,0,0,1,0,2,2,0,0,1231683,23.17,1398/02/09,1398/02/16,0,0,P,50000000,0,7
38,43835000,1590000,900000,900000,1500000,289,12,53,15,9,9,1153553,6.23,1398/02/09,1398/02/16,43835000,43835000,C,50000000,1,7
2,8200000,4200000,4000000,4000000,4200000,40,0,20,7,2,2,4100000,8.89,1398/02/10,1398/02/16,8200000,8200000,C,46000000,1,6
2,11900000,5950000,5950000,5950000,5950000,54,0,23,8,1,1,5950000,8.5,1398/02/10,1398/02/16,11900000,11900000,C,44000000,1,6
54,107205400,2400000,1750000,2150000,2150000,695,-16,68,17,14,9,1985285,27.23,1398/02/10,1398/02/16,107205400,47069300,C,48000000,1,6
0,0,0,0,0,0,15,0,8,4,0,0,41917,12.62,1398/02/10,1398/02/16,0,0,P,44000000,0,6
0,0,0,0,0,0,8,0,6,3,0,0,175252,10.51,1398/02/10,1398/02/16,0,0,P,46000000,0,6
12,800300,80000,60000,60000,80000,55,-10,14,3,4,1,66692,68.16,1398/02/10,1398/02/16,800300,800300,P,48000000,0,6
0,0,0,0,0,0,1,0,2,2,0,0,1250187,1.5,1398/02/10,1398/02/16,0,0,P,50000000,0,6
41,32014600,950000,631200,750000,900000,287,-2,50,15,14,8,780844,32.31,1398/02/10,1398/02/16,32014600,32014600,C,50000000,1,6
2,15662400,7831200,7831200,7831200,7831200,2,0,3,3,2,1,7831200,0.0,1398/02/15,1398/04/18,15662400,15662400,C,48000000,0,65
0,0,0,0,0,0,0,0,0,0,0,0,6538212,0.0,1398/02/15,1398/04/18,0,0,C,50000000,0,65
40,166251100,4391000,3600000,4190000,3600000,39,0,16,6,7,10,4156278,0.0,1398/02/15,1398/04/18,166251100,166251100,C,52000000,0,65
0,0,0,0,0,0,0,0,0,0,0,0,4218729,0.0,1398/02/15,1398/04/18,0,0,P,52000000,1,65
0,0,0,0,0,0,0,0,0,0,0,0,3311982,0.0,1398/02/15,1398/04/18,0,0,P,50000000,1,65
0,0,0,0,0,0,0,0,0,0,0,0,2530426,0.0,1398/02/15,1398/04/18,0,0,P,48000000,1,65
3,18000000,6000000,6000000,6000000,6000000,3,0,4,3,1,3,6000000,8.23,1398/02/16,1398/04/18,18000000,18000000,C,50000000,0,64
81,329570200,4400000,3800000,4400000,4000000,116,77,30,10,12,12,4068768,2.11,1398/02/16,1398/04/18,295572700,329570200,C,52000000,0,64
2,18000000,9000000,9000000,9000000,9000000,4,2,4,3,1,1,9000000,14.92,1398/02/17,1398/04/18,18000000,18000000,C,48000000,0,63
8,59699700,7500000,7399900,7500000,7500000,11,8,8,4,2,4,7462463,24.37,1398/02/17,1398/04/18,59699700,59699700,C,50000000,0,63
84,471273900,6498000,4900000,6099900,4900000,185,69,40,12,13,18,5610404,37.89,1398/02/17,1398/04/18,471273900,471273900,C,52000000,0,63
0,0,0,0,0,0,0,0,0,0,0,0,3713114,8.93,1398/02/17,1398/04/18,0,0,P,52000000,1,63
0,0,0,0,0,0,0,0,0,0,0,0,2874182,9.82,1398/02/17,1398/04/18,0,0,P,50000000,1,63
2,1000000,500000,500000,500000,500000,2,0,2,1,1,1,500000,79.37,1398/02/17,1398/04/18,1000000,1000000,P,48000000,1,63
3,27000000,9000000,9000000,9000000,9000000,7,3,7,4,1,2,9000000,0.0,1398/02/18,1398/04/18,27000000,27000000,C,48000000,0,62
2,14580000,8380000,6200000,8380000,6200000,11,0,7,4,2,2,7290000,2.31,1398/02/18,1398/04/18,14580000,14580000,C,50000000,0,62
60,379350500,6700000,5800000,6200000,6199600,214,29,43,13,8,18,6322508,12.69,1398/02/18,1398/04/18,379350500,327350500,C,52000000,0,62
0,0,0,0,0,0,0,0,0,0,0,0,3508959,5.5,1398/02/18,1398/04/18,0,0,P,52000000,1,62
0,0,0,0,0,0,0,0,0,0,0,0,2699322,6.08,1398/02/18,1398/04/18,0,0,P,50000000,1,62
0,0,0,0,0,0,2,0,2,1,0,0,500000,0.0,1398/02/18,1398/04/18,0,0,P,48000000,1,62
1,9010000,9010000,9010000,9010000,9010000,8,1,8,5,1,1,9010000,0.11,1398/02/19,1398/04/18,9010000,9010000,C,48000000,0,61
0,0,0,0,0,0,11,0,7,4,0,0,7290000,0.0,1398/02/19,1398/04/18,0,0,C,50000000,0,61
67,456395700,7000000,6400000,6800000,6500000,255,41,51,14,14,15,6811876,7.74,1398/02/19,1398/04/18,456395700,456395700,C,52000000,0,61
0,0,0,0,0,0,0,0,0,0,0,0,3484849,0.69,1398/02/19,1398/04/18,0,0,P,52000000,1,61
0,0,0,0,0,0,0,0,0,0,0,0,2675472,0.88,1398/02/19,1398/04/18,0,0,P,50000000,1,61
0,0,0,0,0,0,2,0,2,1,0,0,500000,0.0,1398/02/19,1398/04/18,0,0,P,48000000,1,61
1,9020000,9020000,9020000,9020000,9020000,8,0,8,5,1,1,9020000,0.11,1398/02/21,1398/04/18,9020000,9020000,C,48000000,0,59
2,14300000,7300000,7000000,7300000,7000000,11,0,8,4,2,2,7150000,1.92,1398/02/21,1398/04/18,14300000,14300000,C,50000000,0,59
46,283551000,7090000,5001000,5001000,6750000,268,13,52,15,16,15,6164152,9.51,1398/02/21,1398/04/18,283551000,283551000,C,52000000,0,59
2,4000000,2700000,1300000,1300000,2700000,1,0,2,1,2,2,2000000,42.61,1398/02/21,1398/04/18,4000000,4000000,P,52000000,1,59
0,0,0,0,0,0,0,0,0,0,0,0,2938958,9.85,1398/02/21,1398/04/18,0,0,P,50000000,1,59
0,0,0,0,0,0,2,0,2,1,0,0,2198452,339.69,1398/02/21,1398/04/18,0,0,P,48000000,1,59
2,14660000,7330000,7330000,7330000,7330000,8,0,8,5,2,1,7330000,18.74,1398/02/22,1398/04/18,14660000,14660000,C,48000000,0,58
